nb_suburb,nb_postcode,nb_state,SA1,SA2,SA3,SA4,MMM
Shellharbour City Centre,2529,NSW,Blackbutt (NSW),Warilla,Kiama - Shellharbour,Illawarra,1
Cudmirrah,2540,NSW,Jervis Bay,Jervis Bay,Jervis Bay,Other Territories,5
Tallawong,2762,NSW,Tallawong,Schofields - East,Blacktown - North,Sydney - Blacktown,1
Clare,5453,SA,Stow,Wakefield - Barunga West,Lower North,Barossa - Yorke - Mid North,5
Pelton,2325,NSW,Putty,Singleton Surrounds,Lower Hunter,Hunter Valley exc Newcastle,3
North Gosford,2250,NSW,Wrights Creek (NSW),Bilpin - Colo - St Albans,Hawkesbury,Sydney - Baulkham Hills and Hawkesbury,1
Goldie,3435,VIC,Lancefield,Romsey,Macedon Ranges,Melbourne - North West,5
Sylvania Waters,2224,NSW,Sylvania,Sylvania - Taren Point,Sutherland - Menai - Heathcote,Sydney - Sutherland,1
kanwal,2259,NSW,Lake Macquarie,Wangi Wangi - Rathmines,Lake Macquarie - West,Newcastle and Lake Macquarie,1
Braybrook,3019,VIC,Braybrook,Braybrook,Maribyrnong,Melbourne - West,1
Andergrove,4740,QLD,West Mackay,West Mackay,Mackay,Mackay,2
Lucas,3352,VIC,Werneth,Corangamite - North,Warrnambool - Otway Ranges,Warrnambool and South West,2
Carss Park,2221,NSW,South Hurstville,South Hurstville - Blakehurst,Kogarah - Rockdale,Sydney - Inner South West,1
Kewarra Beach,4879,QLD,Trinity Beach,Trinity Beach - Smithfield,Cairns - North,Cairns,2
Norwood,7250,TAS,Westwood (Tas.),Hadspen - Carrick,North East,Launceston and North East,2
Blair Athol,5084,SA,Kilburn,Enfield - Blair Athol,Port Adelaide - East,Adelaide - North,1
Bellbird Park,4300,QLD,Bellbird Park,Bellbird Park,Springfield - Redbank,Ipswich,1
Holbrook,2644,NSW,Pulletop,Wagga Wagga Surrounds,Wodonga - Alpine,Hume,5
Regents Park,4118,QLD,Heritage Park,Regents Park - Heritage Park,Browns Plains,Logan - Beaudesert,1
Rockdale,2216,NSW,Rockdale,Rockdale - Banksia,Kogarah - Rockdale,Sydney - Inner South West,1
Marshall,3216,VIC,Waurn Ponds,Grovedale - Mount Duneed,Surf Coast - Bellarine Peninsula,Geelong,1
Emerald Beach,2456,NSW,Arrawarra,Woolgoolga - Arrawarra,Coffs Harbour,Coffs Harbour - Grafton,3
Algester,4115,QLD,Parkinson,Parkinson - Drewvale,Sunnybank,Brisbane - South,1
South Mackay,4740,QLD,West Mackay,West Mackay,Mackay,Mackay,2
Agnes Water,4677,QLD,Agnes Water,Agnes Water - Miriam Vale,Gladstone - Biloela,Fitzroy,5
Risdon Vale,7016,TAS,Risdon Vale,Risdon Vale,Hobart - North East,Hobart,2
Jewells,2280,NSW,Valentine,Valentine - Eleebana,Lake Macquarie - East,Newcastle and Lake Macquarie,1
Advancetown,4211,QLD,Pacific Pines,Pacific Pines - Gaven,Robina,Gold Coast,1
Haynes,6112,WA,Piara Waters,Piara Waters - Forrestdale,Gosnells,Perth - South East,1
Deakin,2600,ACT,Barton,Barton,Woden,Australian Capital Territory,1
Tea Tree Gully,5091,SA,Tea Tree Gully,St Agnes - Ridgehaven,Tea Tree Gully,Adelaide - North,1
Merrijig,3723,VIC,Wrathung,Alps - West,Wellington,Latrobe - Gippsland,5
Richmond,5033,SA,Cowandilla,Richmond (SA),West Torrens,Adelaide - West,1
Walkerville,5081,SA,Walkerville (SA),Walkerville,Prospect - Walkerville,Adelaide - Central and Hills,1
Thagoona,4306,QLD,Ripley,Ripley,Burnett,Wide Bay,2
Dakabin,4503,QLD,Petrie,Petrie,Strathpine,Moreton Bay - South,1
Carlton,2218,NSW,Carlton (NSW),Bexley - South,Kogarah - Rockdale,Sydney - Inner South West,1
Jerusalem,5554,SA,Warburto,Moonta,Yorke Peninsula,Barossa - Yorke - Mid North,5
Mardi,2259,NSW,Lake Macquarie,Wangi Wangi - Rathmines,Lake Macquarie - West,Newcastle and Lake Macquarie,1
Jurien Bay,6516,WA,Jurien Bay,Gingin - Dandaragan,Wheat Belt - North,Western Australia - Wheat Belt,5
Queenscliff,2096,NSW,Queenscliff (NSW),Freshwater - Brookvale,Warringah,Sydney - Northern Beaches,1
Castlecrag,2068,NSW,Willoughby (NSW),Willoughby,Chatswood - Lane Cove,Sydney - North Sydney and Hornsby,1
Tapping,6065,WA,Wanneroo,Wanneroo - Sinagra,Wanneroo,Perth - North West,1
Middle Ridge,4350,QLD,Cranley,Wilsonton,Toowoomba,Toowoomba,2
Splitters Creek,2640,NSW,Welaregang,Tumbarumba,Wodonga - Alpine,Hume,2
Glenella,4740,QLD,West Mackay,West Mackay,Mackay,Mackay,2
Donnybrook,6239,WA,Donnybrook (WA),Donnybrook - Balingup,Manjimup,Bunbury,5
Queens Park,6107,WA,Wattle Grove (WA),Forrestfield - Wattle Grove,Kalamunda,Perth - South East,1
Mallabula,2319,NSW,Tilligerry Creek,Williamtown - Medowie - Karuah,Port Stephens,Hunter Valley exc Newcastle,5
Jan Juc,3228,VIC,Torquay (Vic.),Torquay,Surf Coast - Bellarine Peninsula,Geelong,2
Bull Creek,6149,WA,Leeming,Leeming,Melville,Perth - South West,1
Billinudgel,2483,NSW,Burringbar,Pottsville,Tweed Valley,Richmond - Tweed,5
Pine Mountain,4306,QLD,Ripley,Ripley,Burnett,Wide Bay,2
Lawson,2617,ACT,O'Connor (ACT),O'Connor (ACT),North Canberra,Australian Capital Territory,1
Silvan,3766,VIC,Silvan,Mount Dandenong - Olinda,Yarra Ranges,Melbourne - Outer East,1
Elderslie,2570,NSW,Oran Park,Oran Park,Bringelly - Green Valley,Sydney - South West,1
Clear Island Waters,4226,QLD,Robina,Robina - West,Robina,Gold Coast,1
Heritage Park,4118,QLD,Heritage Park,Regents Park - Heritage Park,Browns Plains,Logan - Beaudesert,1
New Beith,4124,QLD,Greenbank,Greenbank - North Maclean,Jimboomba,Logan - Beaudesert,1
Bairnsdale,3875,VIC,Raymond Island,Paynesville,Wellington,Latrobe - Gippsland,4
Nunawading,3131,VIC,Nunawading,Nunawading,Whitehorse - East,Melbourne - Outer East,1
Innes Park,4670,QLD,Walkervale,Walkervale - Avenell Heights,Burnett,Wide Bay,2
Victor Harbor,5211,SA,Willow Creek,Yankalilla,Fleurieu - Kangaroo Island,South Australia - South East,3
Riverside,7250,TAS,Westwood (Tas.),Hadspen - Carrick,North East,Launceston and North East,2
Cohuna,3568,VIC,Teal Point,Gannawarra,Murray River - Swan Hill,North West,5
north st marys,2760,NSW,St Marys (NSW),St Marys - North St Marys,St Marys,Sydney - Outer West and Blue Mountains,1
East Albury,2640,NSW,Welaregang,Tumbarumba,Wodonga - Alpine,Hume,2
Newnham,7248,TAS,Newnham,Newnham - Mayfield,North East,Launceston and North East,2
Bayview,820,NT,Coonawarra (NT),Berrimah,Darwin Suburbs,Darwin,2
Point Clare,2250,NSW,Wrights Creek (NSW),Bilpin - Colo - St Albans,Hawkesbury,Sydney - Baulkham Hills and Hawkesbury,1
Gailes,4300,QLD,Bellbird Park,Bellbird Park,Springfield - Redbank,Ipswich,1
Franklin,2913,ACT,Taylor,Taylor,Gungahlin,Australian Capital Territory,1
Mundoolun,4285,QLD,Woodhill (Qld),Jimboomba - Glenlogan,Jimboomba,Logan - Beaudesert,5
Mount Mee,4521,QLD,Dayboro,Dayboro,Hills District,Moreton Bay - South,2
Catherine Field,2557,NSW,Catherine Field,Leppington - Catherine Field,Bringelly - Green Valley,Sydney - South West,1
South Granville,2142,NSW,Rosehill (NSW),Rosehill - Harris Park,Parramatta,Sydney - Parramatta,1
Highvale,4520,QLD,Cedar Creek (Moreton Bay - Qld),Samford Valley,Hills District,Moreton Bay - South,2
Summerland Point,2259,NSW,Lake Macquarie,Wangi Wangi - Rathmines,Lake Macquarie - West,Newcastle and Lake Macquarie,1
Banya,4551,QLD,Meridan Plains,Meridan Plains - Little Mountain (North),Sunshine Coast Hinterland,Sunshine Coast,1
Brookwater,4300,QLD,Bellbird Park,Bellbird Park,Springfield - Redbank,Ipswich,1
Tin Can Bay,4580,QLD,Cooloola Cove,Cooloola,Gympie - Cooloola,Wide Bay,5
Warrnambool,3280,VIC,Warrnambool,Warrnambool - South,Warrnambool - Otway Ranges,Warrnambool and South West,3
King Scrub,4521,QLD,Dayboro,Dayboro,Hills District,Moreton Bay - South,2
Catalina,2536,NSW,South Durras,Eurobodalla Hinterland,Shoalhaven,Southern Highlands and Shoalhaven,4
Calliope,4680,QLD,West Gladstone,West Gladstone,Gladstone - Biloela,Fitzroy,3
Strathtulloh,3338,VIC,Wyndham Vale,Wyndham Vale - North,Wyndham,Melbourne - West,1
Urraween,4655,QLD,Walkers Point,Maryborough Surrounds - South,Maryborough,Wide Bay,2
Hendon,4362,QLD,Toolburra,Southern Downs - West,Granite Belt,Darling Downs - Maranoa,5
New Port,5015,SA,Torrens Island,Torrens Island,Port Adelaide - West,Adelaide - West,1
Mcilwraith,4671,QLD,Mount Perry,Monto - Eidsvold,Burnett,Wide Bay,5
Malabar,2036,NSW,Matraville,Matraville - Chifley,Eastern Suburbs - South,Sydney - Eastern Suburbs,1
Barellan Point,4306,QLD,Ripley,Ripley,Burnett,Wide Bay,1
Horsley Park,2175,NSW,Horsley Park,Horsley Park - Kemps Creek,Fairfield,Sydney - South West,1
Barooga,3644,NSW,Yarroweyah,Numurkah,Moira,Shepparton,4
Delacombe,3356,VIC,Sebastopol (Vic.),Sebastopol - Redan,Ballarat,Ballarat,2
Coonabarabran,2357,NSW,Coonabarabran,Coonabarabran,Dubbo,Far West and Orana,5
Underwood,4119,QLD,Underwood (Qld),Underwood,Springwood - Kingston,Logan - Beaudesert,1
Twin Waters,4564,QLD,Twin Waters,Marcoola - Mudjimba,Maroochy,Sunshine Coast,1
Oakleigh,3166,VIC,Oakleigh,Oakleigh - Huntingdale,Monash,Melbourne - South East,1
Boronia Heights,4124,QLD,Greenbank,Greenbank - North Maclean,Jimboomba,Logan - Beaudesert,1
Williamstown North,3016,VIC,Williamstown (Vic.),Williamstown,Hobsons Bay,Melbourne - West,1
Beaconsfield,2015,NSW,Beaconsfield (NSW),Rosebery - Beaconsfield,Sydney Inner City,Sydney - City and Inner South,1
Gungahlin,2912,ACT,ACT Remainder - Gungahlin,Kenny,North Canberra,Australian Capital Territory,1
Londonderry,2753,NSW,Agnes Banks,Yarramundi - Londonderry,Richmond - Windsor,Sydney - Outer West and Blue Mountains,1
Gwandalan,2259,NSW,Lake Macquarie,Wangi Wangi - Rathmines,Lake Macquarie - West,Newcastle and Lake Macquarie,1
St Leonards,3223,VIC,St Leonards (Vic.),Portarlington,Surf Coast - Bellarine Peninsula,Geelong,4
Templestowe Lower,3107,VIC,Templestowe Lower,Templestowe Lower,Manningham - West,Melbourne - Inner East,1
Eudlo,4554,QLD,Ilkley,Palmwoods,Sunshine Coast Hinterland,Sunshine Coast,2
Wishart,4122,QLD,Wishart (Qld),Wishart,Nathan,Brisbane - South,1
Gawler South,5118,SA,Evanston Park,One Tree Hill,Playford,Adelaide - North,1
Metford,2323,NSW,Freemans Waterhole,Morisset - Cooranbong,Lake Macquarie - West,Newcastle and Lake Macquarie,1
Cardigan Village,3352,VIC,Werneth,Corangamite - North,Warrnambool - Otway Ranges,Warrnambool and South West,2
Latham,2615,ACT,Strathnairn,Strathnairn,Cotter - Namadgi,Australian Capital Territory,1
Coolamon,2701,NSW,Rannock,Wagga Wagga Surrounds,Wagga Wagga,Riverina,5
Cardiff South,2285,NSW,Wallsend,Wallsend - Elermore Vale,Newcastle,Newcastle and Lake Macquarie,1
The Junction,2291,NSW,Merewether,Merewether - The Junction,Newcastle,Newcastle and Lake Macquarie,1
Parkesbourne,2580,NSW,Wiarborough,Oberon,Blue Mountains - South,Sydney - Outer West and Blue Mountains,5
Brookdale,6112,WA,Piara Waters,Piara Waters - Forrestdale,Gosnells,Perth - South East,1
Mount Nathan,4211,QLD,Pacific Pines,Pacific Pines - Gaven,Robina,Gold Coast,1
Dayboro,4521,QLD,Dayboro,Dayboro,Hills District,Moreton Bay - South,2
Riverton,6148,WA,Rossmoyne,Riverton - Shelley - Rossmoyne,Canning,Perth - South East,1
Lake Bathurst,2580,NSW,Wiarborough,Oberon,Blue Mountains - South,Sydney - Outer West and Blue Mountains,5
Mount Stuart,7000,TAS,West Hobart,West Hobart,Hobart Inner,Hobart,2
Trinity Park,4879,QLD,Trinity Beach,Trinity Beach - Smithfield,Cairns - North,Cairns,2
Sunnybank,4109,QLD,Sunnybank Hills,Sunnybank Hills,Sunnybank,Brisbane - South,1
Majors Creek,4816,QLD,Toonpan,Townsville - South,Townsville,Townsville,5
Ashwood,3147,VIC,Ashwood,Ashwood - Chadstone,Monash,Melbourne - South East,1
Smythes Creek,3351,VIC,Woorndoo,Moyne - East,Warrnambool - Otway Ranges,Warrnambool and South West,2
Talbingo,2720,NSW,Wyangle,Tumut Surrounds,Tumut - Tumbarumba,Riverina,5
Netley,5037,SA,Netley,Plympton,West Torrens,Adelaide - West,1
Attadale,6157,WA,Palmyra (WA),Bicton - Palmyra,Melville,Perth - South West,1
The Bight,2429,NSW,Wingham,Wingham,Taree - Gloucester,Mid North Coast,3
Cotswold Hills,4350,QLD,Cranley,Wilsonton,Toowoomba,Toowoomba,2
Tiatukia,5607,SA,Tiatukia,Port Lincoln,Eyre Peninsula and South West,South Australia - Outback,6
Grasstree Beach,4740,QLD,West Mackay,West Mackay,Mackay,Mackay,5
St Andrews Beach,3941,VIC,Tootgarook,Point Nepean,Mornington Peninsula,Mornington Peninsula,1
Tecoma,3160,VIC,Tecoma,Upwey - Tecoma,Yarra Ranges,Melbourne - Outer East,1
Belimbla Park,2570,NSW,Oran Park,Oran Park,Bringelly - Green Valley,Sydney - South West,2
Yallambie,3085,VIC,Macleod (Vic.),Kingsbury,Darebin - North,Melbourne - North East,1
Unley Park,5061,SA,Unley,Unley - Parkside,Unley,Adelaide - Central and Hills,1
Haberfield,2045,NSW,Haberfield,Haberfield - Summer Hill,Strathfield - Burwood - Ashfield,Sydney - Inner West,1
Wattle Grove,6107,WA,Wattle Grove (WA),Forrestfield - Wattle Grove,Kalamunda,Perth - South East,1
Georgetown,2298,NSW,Waratah West,Waratah - North Lambton,Newcastle,Newcastle and Lake Macquarie,1
Briar Hill,3088,VIC,Greensborough,Plenty - Yarrambat,Nillumbik - Kinglake,Melbourne - North East,1
Yamanto,4305,QLD,Raceview,Ripley,Ipswich Inner,Ipswich,1
Gumeracha,5233,SA,Kenton Valley,Adelaide Hills,Adelaide Hills,Adelaide - Central and Hills,2
Camp Hill,4152,QLD,Norman Park,Norman Park,Brisbane Inner - East,Brisbane Inner City,1
West Pymble,2073,NSW,Pymble,Pymble,Ku-ring-gai,Sydney - North Sydney and Hornsby,1
Bokarina,4575,QLD,Birtinya,Wurtulla - Birtinya,Maroochy,Sunshine Coast,1
Waaia,3637,VIC,Waaia,Numurkah,Moira,Shepparton,5
Mount Barker Springs,5251,SA,St Ives (SA),Mount Barker Surrounds,Adelaide Hills,Adelaide - Central and Hills,3
Tallarook,3659,VIC,Tallarook,Seymour Surrounds,Upper Goulburn Valley,Hume,5
Ulladulla,2539,NSW,Manyana,Ulladulla Surrounds,Shoalhaven,Southern Highlands and Shoalhaven,4
Huskisson,2540,NSW,Jervis Bay,Jervis Bay,Jervis Bay,Other Territories,4
Kyle Bay,2221,NSW,South Hurstville,South Hurstville - Blakehurst,Kogarah - Rockdale,Sydney - Inner South West,1
Springdale Heights,2641,NSW,Lavington,Lavington,Albury,Murray,2
Delaneys Creek,4514,QLD,Woodford (Qld),Woodford - D'Aguilar,Caboolture Hinterland,Moreton Bay - North,2
Strathmore,3041,VIC,Strathmore (Vic.),Strathmore,Moreland - North,Melbourne - North West,1
Birdwood,5234,SA,Birdwood (SA),Adelaide Hills,Murray and Mallee,South Australia - South East,5
Pipers Creek,3444,VIC,Tooborac,Seymour Surrounds,Upper Goulburn Valley,Hume,5
Fairfield,4103,QLD,Tarragindi,Tarragindi,Nathan,Brisbane - South,1
Tooradin,3980,VIC,Warneet,Pearcedale - Tooradin,Casey - South,Melbourne - South East,2
Parramatta,2150,NSW,Harris Park,Rosehill - Harris Park,Parramatta,Sydney - Parramatta,1
Warrandyte,3113,VIC,Warrandyte,Warrandyte - Wonga Park,Manningham - East,Melbourne - Outer East,1
warwick farm,2170,NSW,Prestons,Prestons,Liverpool,Sydney - South West,1
Barlows Hill,4703,QLD,Lammermoor,Yeppoon,Rockhampton,Fitzroy,3
Arthurs Creek,3099,VIC,Nutfield,Panton Hill - St Andrews,Nillumbik - Kinglake,Melbourne - North East,2
Maida Vale,6057,WA,Maida Vale,Kalamunda - Maida Vale - Gooseberry Hill,Kalamunda,Perth - South East,1
Yakamia,6330,WA,McKail,McKail - Willyung,Albany,Western Australia - Wheat Belt,3
Elliminyt,3250,VIC,Yeo,Colac Surrounds,Warrnambool - Otway Ranges,Warrnambool and South West,4
Bundall,4217,QLD,Surfers Paradise,Surfers Paradise - South,Surfers Paradise,Gold Coast,1
Greenmount,6056,WA,Helena Valley,Kalamunda - Maida Vale - Gooseberry Hill,Kalamunda,Perth - South East,1
Coopers Plains,4108,QLD,Sunnybank,Sunnybank,Sunnybank,Brisbane - South,1
Macarthur,2904,ACT,Monash (ACT),Monash,Tuggeranong,Australian Capital Territory,1
Trawalla,3373,VIC,Westmere,Ararat Surrounds,Grampians,North West,5
Shadforth,6333,WA,Denmark,Denmark,Albany,Western Australia - Wheat Belt,5
Bunbury,6230,WA,Usher,Withers - Usher,Bunbury,Bunbury,2
Doonan,4562,QLD,Weyba Downs,Noosa Hinterland,Sunshine Coast Hinterland,Sunshine Coast,1
Putney,2112,NSW,Ryde,Ryde - South,Ryde - Hunters Hill,Sydney - Ryde,1
North Albury,2640,NSW,Welaregang,Tumbarumba,Wodonga - Alpine,Hume,2
Belgrave South,3160,VIC,Tecoma,Upwey - Tecoma,Yarra Ranges,Melbourne - Outer East,1
Geebung,4034,QLD,Zillmere,Zillmere,Sandgate,Brisbane - North,1
Booker Bay,2257,NSW,Umina Beach,Umina - Booker Bay - Patonga,Gosford,Central Coast,1
Woodville South,5011,SA,St Clair (SA),Woodville - Cheltenham,Charles Sturt,Adelaide - West,1
Paddington,4064,QLD,Red Hill (Brisbane - Qld),Red Hill (Qld),Brisbane Inner - West,Brisbane Inner City,1
Swansea,2281,NSW,Swansea (NSW),Swansea - Caves Beach,Lake Macquarie - East,Newcastle and Lake Macquarie,1
Park Orchards,3114,VIC,Ringwood North,Ringwood North,Maroondah,Melbourne - Outer East,1
Allawah,2218,NSW,Carlton (NSW),Bexley - South,Kogarah - Rockdale,Sydney - Inner South West,1
Two Rocks,6037,WA,Two Rocks,Two Rocks,Wanneroo,Perth - North West,2
Fairy Hill,2470,NSW,Spring Grove,Lismore Surrounds,Richmond Valley - Hinterland,Richmond - Tweed,4
Kensington Gardens,5068,SA,St Morris,Payneham - Felixstow,Norwood - Payneham - St Peters,Adelaide - Central and Hills,1
Wilberforce,2756,NSW,Bligh Park,Windsor - Bligh Park,Richmond - Windsor,Sydney - Outer West and Blue Mountains,1
East Cannington,6107,WA,Wattle Grove (WA),Forrestfield - Wattle Grove,Kalamunda,Perth - South East,1
Karama,812,NT,Wulagi,Wulagi,Darwin Suburbs,Darwin,2
Erskine Park,2759,NSW,St Clair (Penrith - NSW),St Clair,St Marys,Sydney - Outer West and Blue Mountains,1
Baskerville,6056,WA,Helena Valley,Kalamunda - Maida Vale - Gooseberry Hill,Kalamunda,Perth - South East,1
Kiara,6054,WA,Kiara,Lockridge - Kiara,Swan,Perth - North East,1
Port Hughes,5558,SA,Weetulta,Yorke Peninsula - North,Yorke Peninsula,Barossa - Yorke - Mid North,5
Murray Bridge,5253,SA,Wellington (SA),Murray Bridge Surrounds,Murray and Mallee,South Australia - South East,3
Hughes,2605,ACT,Hughes (ACT),Hughes,Woden,Australian Capital Territory,1
Strathdale,3550,VIC,White Hills (Vic.),White Hills - Ascot,Bendigo,Bendigo,2
Mareeba,4880,QLD,Biboohra,Tablelands,Far North,Queensland - Outback,4
Bombala,2632,NSW,Wyndham (NSW),Bega-Eden Hinterland,South Coast,Capital Region,5
Rosebery,7470,TAS,Rosebery (Tas.),West Coast (Tas.),West Coast,West and North West,6
Newington,2127,NSW,Wentworth Point,Wentworth Point - Sydney Olympic Park,Auburn,Sydney - Parramatta,1
Erina Heights,2260,NSW,Forresters Beach,Wamberal - Forresters Beach,Wyong,Central Coast,1
Clunes,2480,NSW,Dunoon,Lismore Surrounds,Richmond Valley - Hinterland,Richmond - Tweed,5
Hopetoun Park,3340,VIC,Parwan,Eynesbury - Exford,Melton - Bacchus Marsh,Melbourne - West,1
Lang Lang,3984,VIC,Lang Lang,Koo Wee Rup,Cardinia,Melbourne - South East,5
Way Way,2447,NSW,Wirrimbi,Nambucca Heads Surrounds,Kempsey - Nambucca,Mid North Coast,5
Beckenham,6107,WA,Wattle Grove (WA),Forrestfield - Wattle Grove,Kalamunda,Perth - South East,1
Goondiwindi,4390,QLD,Yelarbon,Inglewood - Waggamba,Darling Downs (West) - Maranoa,Darling Downs - Maranoa,4
Bowen Mountain,2753,NSW,Agnes Banks,Yarramundi - Londonderry,Richmond - Windsor,Sydney - Outer West and Blue Mountains,2
Salter Point,6152,WA,Salter Point,Manning - Waterford,South Perth,Perth - South East,1
Shoal Point,4750,QLD,Bucasia,Shoal Point - Bucasia,Mackay,Mackay,2
Millers Point,2000,NSW,Haymarket,Sydney (South) - Haymarket,Sydney Inner City,Sydney - City and Inner South,1
Kennington,3550,VIC,White Hills (Vic.),White Hills - Ascot,Bendigo,Bendigo,2
North Rocks,2151,NSW,Northmead,Northmead,Parramatta,Sydney - Parramatta,1
Hawker,2614,ACT,Weetangera,Weetangera,Belconnen,Australian Capital Territory,1
Connells Point,2221,NSW,South Hurstville,South Hurstville - Blakehurst,Kogarah - Rockdale,Sydney - Inner South West,1
Lakes Entrance,3909,VIC,Seacombe,Longford - Loch Sport,Wellington,Latrobe - Gippsland,4
Casino,2470,NSW,Spring Grove,Lismore Surrounds,Richmond Valley - Hinterland,Richmond - Tweed,4
Ooralea,4740,QLD,West Mackay,West Mackay,Mackay,Mackay,2
Raglan,2795,NSW,Ophir,Orange Surrounds,Orange,Central West,3
Bungabbee,2480,NSW,Dunoon,Lismore Surrounds,Richmond Valley - Hinterland,Richmond - Tweed,3
Bushmead,6055,WA,South Guildford,Perth Airport,Belmont - Victoria Park,Perth - South East,1
Adamstown Heights,2289,NSW,Kotara,Lambton - New Lambton,Newcastle,Newcastle and Lake Macquarie,1
Subiaco,6008,WA,West Leederville,Wembley - West Leederville - Glendalough,Perth City,Perth - Inner,1
Monegeetta,3433,VIC,Monegeetta,Romsey,Macedon Ranges,Melbourne - North West,5
Warwick,6024,WA,Greenwood (WA),Greenwood - Warwick,Joondalup,Perth - North West,1
Rose Park,5067,SA,Norwood (SA),Norwood (SA),Norwood - Payneham - St Peters,Adelaide - Central and Hills,1
Yea,3717,VIC,Flowerdale (Vic.),Yea,Upper Goulburn Valley,Hume,5
Ascot,4007,QLD,Hendra,Hendra,Brisbane Inner - North,Brisbane Inner City,1
Belli Park,4562,QLD,Weyba Downs,Noosa Hinterland,Sunshine Coast Hinterland,Sunshine Coast,5
Singleton,2330,NSW,Womerah,Bilpin - Colo - St Albans,Hawkesbury,Sydney - Baulkham Hills and Hawkesbury,4
Warana,4575,QLD,Birtinya,Wurtulla - Birtinya,Maroochy,Sunshine Coast,1
Tinonee,2430,NSW,Lansdowne (Mid-Coast - NSW),Taree Surrounds,Taree - Gloucester,Mid North Coast,3
Caversham,6055,WA,South Guildford,Perth Airport,Belmont - Victoria Park,Perth - South East,1
Northgate,4013,QLD,Nundah,Nundah,Nundah,Brisbane - North,1
Alexander Heights,6064,WA,Marangaroo,Marangaroo,Wanneroo,Perth - North West,1
Lake Bolac,3351,VIC,Woorndoo,Moyne - East,Warrnambool - Otway Ranges,Warrnambool and South West,5
Burnside,3023,VIC,Caroline Springs,Caroline Springs,Melton - Bacchus Marsh,Melbourne - West,1
Corinda,4075,QLD,Oxley (Qld),Oxley (Qld),Forest Lake - Oxley,Ipswich,1
Childers,4660,QLD,Howard,Burrum - Fraser,Maryborough,Wide Bay,5
Broken Hill,2880,NSW,Silverton (NSW),Far West,Broken Hill and Far West,Far West and Orana,3
Broadmeadows,3047,VIC,Dallas,Campbellfield - Coolaroo,Tullamarine - Broadmeadows,Melbourne - North West,1
Manjimup,6258,WA,Nannup,Pemberton,Albany,Western Australia - Wheat Belt,5
Salisbury,4107,QLD,Salisbury (Qld),Salisbury - Nathan,Rocklea - Acacia Ridge,Brisbane - South,1
Kalamunda,6076,WA,Lesmurdie,Lesmurdie - Bickley - Carmel,Kalamunda,Perth - South East,1
Wannamal,6505,WA,Wannamal,Chittering,Wheat Belt - North,Western Australia - Wheat Belt,5
Queens Park,2022,NSW,Bondi Junction,Bondi Junction - Waverly,Eastern Suburbs - North,Sydney - Eastern Suburbs,1
Mount Warrigal,2528,NSW,Mount Warrigal,Warilla,Kiama - Shellharbour,Illawarra,1
Rosewater,5013,SA,Wingfield,The Parks,Port Adelaide - West,Adelaide - West,1
Crawley,6009,WA,Nedlands,Nedlands - Dalkeith - Crawley,Cottesloe - Claremont,Perth - Inner,1
Elizabeth North,5113,SA,Elizabeth Downs,Smithfield - Elizabeth North,Playford,Adelaide - North,1
Stones Corner,4120,QLD,Holland Park West,Holland Park West,Nathan,Brisbane - South,1
Goodna,4300,QLD,Bellbird Park,Bellbird Park,Springfield - Redbank,Ipswich,1
Chisholm,2905,ACT,Theodore (ACT),Theodore,Tuggeranong,Australian Capital Territory,1
Ascot,6104,WA,Belmont (WA),Belmont - Ascot - Redcliffe,Belmont - Victoria Park,Perth - South East,1
Sinnamon Park,4073,QLD,Seventeen Mile Rocks,Seventeen Mile Rocks - Sinnamon Park,Centenary,Brisbane - West,1
Beldon,6027,WA,Ocean Reef,Ocean Reef,Wanneroo,Perth - North West,1
Coniston,2500,NSW,Gwynneville,Wollongong - West,Wollongong,Illawarra,1
Edensor Park,2176,NSW,Wakeley,St Johns Park - Wakeley,Fairfield,Sydney - South West,1
Pearcedale,3912,VIC,Somerville (Vic.),Somerville,Mornington Peninsula,Mornington Peninsula,1
Para Hills,5096,SA,Para Hills,Para Hills,Salisbury,Adelaide - North,1
Lake Heights,2502,NSW,Primbee,Windang - Primbee,Dapto - Port Kembla,Illawarra,1
Rosehill,2142,NSW,Rosehill (NSW),Rosehill - Harris Park,Parramatta,Sydney - Parramatta,1
Mount Lofty,4350,QLD,Cranley,Wilsonton,Toowoomba,Toowoomba,2
Wallacia,2745,NSW,Luddenham,Badgerys Creek,Bringelly - Green Valley,Sydney - South West,1
The Basin,3154,VIC,Sassafras (Vic.),Mount Dandenong - Olinda,Knox,Melbourne - Outer East,1
Edgewater,6027,WA,Ocean Reef,Ocean Reef,Wanneroo,Perth - North West,1
Archerfield,4108,QLD,Sunnybank,Sunnybank,Sunnybank,Brisbane - South,1
Stratford,4870,QLD,Whitfield (Qld),Whitfield - Edge Hill,Cairns - South,Cairns,2
Croydon South,3136,VIC,Croydon South,Croydon South,Maroondah,Melbourne - Outer East,1
Warranwood,3134,VIC,Ringwood North,Ringwood North,Whitehorse - East,Melbourne - Outer East,1
Huntleys Cove,2111,NSW,Gladesville,Gladesville - Huntleys Point,Ryde - Hunters Hill,Sydney - Ryde,1
Eastern Creek,2766,NSW,Rooty Hill,Rooty Hill - Minchinbury,Mount Druitt,Sydney - Blacktown,1
Laidley North,4341,QLD,Laidley North,Lockyer Valley - East,Ipswich Hinterland,Ipswich,5
