nb_suburb,nb_postcode,nb_state,SA1,SA2,SA3,SA4,MMM
South Guildford,6055,WA,South Guildford,Perth Airport,Belmont - Victoria Park,Perth - South East,1
Brighton-Le-Sands,2216,NSW,Rockdale,Rockdale - Banksia,Kogarah - Rockdale,Sydney - Inner South West,1
Newman,6753,WA,Newman,Newman,Pilbara,Western Australia - Outback,7
Walligan,4655,QLD,Walkers Point,Maryborough Surrounds - South,Maryborough,Wide Bay,2
Wattle Grove,2173,NSW,Wattle Grove (NSW),Holsworthy - Wattle Grove,Liverpool,Sydney - South West,1
Mirrabooka,6061,WA,Mirrabooka (WA),Dianella - North,Wanneroo,Perth - North West,1
Mount Cotton,4165,QLD,Victoria Point (Qld),Victoria Point,Cleveland - Stradbroke,Brisbane - East,1
Fulham Gardens,5024,SA,West Beach (SA),West Beach,West Torrens,Adelaide - West,1
North Turramurra,2074,NSW,Warrawee,Wahroonga (East) - Warrawee,Pennant Hills - Epping,Sydney - Ryde,1
Bilgola Plateau,2107,NSW,Bilgola Plateau,Newport - Bilgola,Pittwater,Sydney - Northern Beaches,1
Blackburn North,3130,VIC,Blackburn South,Blackburn South,Whitehorse - West,Melbourne - Inner East,1
Currumbin,4223,QLD,Currumbin Valley,Currumbin Valley - Tallebudgera,Mudgeeraba - Tallebudgera,Gold Coast,1
Toowong,4066,QLD,Toowong,Toowong,Brisbane Inner - West,Brisbane Inner City,1
Northwood,2066,NSW,Lane Cove,Lane Cove,Chatswood - Lane Cove,Sydney - North Sydney and Hornsby,1
Kareela,2232,NSW,Woronora,Woronora Heights,Sutherland - Menai - Heathcote,Sydney - Sutherland,1
Banyo,4014,QLD,Nudgee,Nudgee - Banyo,Nundah,Brisbane - North,1
Belmore,2192,NSW,Belmore,Belmore - Belfield,Canterbury,Sydney - Inner South West,1
Gosford,2250,NSW,Wrights Creek (NSW),Bilpin - Colo - St Albans,Hawkesbury,Sydney - Baulkham Hills and Hawkesbury,1
Brighton,3186,VIC,Hampton (Vic.),Hampton,Bayside,Melbourne - Inner South,1
Northcote,3070,VIC,Northcote,Northcote - West,Yarra,Melbourne - Inner,1
North Nowra,2541,NSW,South Nowra,Nowra,Shoalhaven,Southern Highlands and Shoalhaven,3
Greenacre,2190,NSW,Strathfield (NSW),Strathfield - West,Strathfield - Burwood - Ashfield,Sydney - Inner West,1
Swan Hill,3585,VIC,Ultima East,Swan Hill Surrounds,Murray River - Swan Hill,North West,4
Crestwood,2620,NSW,ACT Remainder - Rendezvous Creek,Namadgi,Tuggeranong,Australian Capital Territory,1
Bell Park,3215,VIC,Lovely Banks,Corio - Lovely Banks,Geelong,Geelong,1
Joondalup,6027,WA,Ocean Reef,Ocean Reef,Wanneroo,Perth - North West,1
Lawnton,4501,QLD,Lawnton,Lawnton,Strathpine,Moreton Bay - South,1
