nb_suburb,nb_postcode,nb_state,SA1,SA2,SA3,SA4,Median total income($)
Bilpin,2758,NSW,Yarramundi,Blue Mountains - North,Blue Mountains,Sydney - Outer West and Blue Mountains,47184
Binna Burra,2479,NSW,Bangalow,Bangalow,Richmond Valley - Coastal,Richmond - Tweed,39791
Binnaway,2395,NSW,Yarragrin,Coonabarabran,Dubbo,Far West and Orana,34862
Binningup,6233,WA,Wellesley (WA),Harvey,Bunbury,Bunbury,52519
Birchgrove,2041,NSW,Balmain,Balmain,Leichhardt,Sydney - Inner West,84954
Birdwood,5234,SA,Birdwood (SA),Adelaide Hills,Murray and Mallee,South Australia - South East,53315
Birkdale,4159,QLD,Birkdale,Capalaba,Capalaba,Brisbane - East,54683
Birkenhead,5015,SA,Torrens Island,Torrens Island,Port Adelaide - West,Adelaide - West,51071
Birrong,2143,NSW,Regents Park (NSW),Regents Park,Auburn,Sydney - Parramatta,44692
Bittern,3918,VIC,Bittern,Hastings - Somers,Mornington Peninsula,Mornington Peninsula,48896
Black Forest,5035,SA,Mile End South,Richmond (SA),West Torrens,Adelaide - West,50425
Black Hill,3350,VIC,Redan,Sebastopol - Redan,Ballarat,Ballarat,49070
Black Mountain,4563,QLD,Carters Ridge,Gympie Surrounds,Gympie - Cooloola,Wide Bay,39745
Black Rock,3193,VIC,Sandringham (Vic.),Sandringham - Black Rock,Bayside,Melbourne - Inner South,64524
Blackalls Park,2283,NSW,West Wallsend,West Wallsend - Barnsley - Killingworth,Lake Macquarie - West,Newcastle and Lake Macquarie,54600
Blackburn,3130,VIC,Blackburn South,Blackburn South,Whitehorse - West,Melbourne - Inner East,53343
Blackburn North,3130,VIC,Blackburn South,Blackburn South,Whitehorse - West,Melbourne - Inner East,49401
Blackburn South,3130,VIC,Blackburn South,Blackburn South,Whitehorse - West,Melbourne - Inner East,49401
Blackbutt,2529,NSW,Blackbutt (NSW),Warilla,Kiama - Shellharbour,Illawarra,48187
Blackett,2770,NSW,Minchinbury,Rooty Hill - Minchinbury,Mount Druitt,Sydney - Blacktown,55162
Blackheath,2785,NSW,Blackheath,Blackheath - Megalong Valley,Blue Mountains,Sydney - Outer West and Blue Mountains,42326
Blackmans Bay,7052,TAS,Blackmans Bay,Kingston Beach - Blackmans Bay,Hobart - South and West,Hobart,52690
Blacks Beach,4740,QLD,West Mackay,West Mackay,Mackay,Mackay,61843
Blacktown,2148,NSW,Pemulwuy,Prospect Reservoir,Fairfield,Sydney - South West,56092
Blackwood,5051,SA,Coromandel Valley,Coromandel Valley,Onkaparinga,Adelaide - South,59071
Blair Athol,2560,NSW,Appin (NSW),Douglas Park - Appin,Wollondilly,Sydney - Outer South West,44548
Blair Athol,5084,SA,Kilburn,Enfield - Blair Athol,Port Adelaide - East,Adelaide - North,44548
Blairgowrie,3942,VIC,Blairgowrie,Point Nepean,Mornington Peninsula,Mornington Peninsula,42617
Blakehurst,2221,NSW,South Hurstville,South Hurstville - Blakehurst,Kogarah - Rockdale,Sydney - Inner South West,45642
Blakeview,5114,SA,Greenwith,Golden Grove,Barossa,Barossa - Yorke - Mid North,52830
Blaxland,2774,NSW,Mount Riverview,Blaxland - Warrimoo - Lapstone,Blue Mountains,Sydney - Outer West and Blue Mountains,61436
Blayney,2799,NSW,Vittoria (NSW),Orange Surrounds,Orange,Central West,49674
Bli Bli,4560,QLD,Nambour,Nambour,Sunshine Coast Hinterland,Sunshine Coast,47570
Blind Bight,3980,VIC,Warneet,Pearcedale - Tooradin,Casey - South,Melbourne - South East,53071
Blue Haven,2262,NSW,Doyalson North,Lake Munmorah - Mannering Park,Wyong,Central Coast,49191
Bluewater,4818,QLD,Deeragun,Deeragun - Jensen,Townsville,Townsville,56111
Bluff Point,6530,WA,Houtman Abrolhos,Northampton - Mullewa - Greenough,Mid West,Western Australia - Outback,41614
Boambee,2450,NSW,Bonville,Sawtell - Boambee,Coffs Harbour,Coffs Harbour - Grafton,44896
Boambee East,2452,NSW,Toormina,Sawtell - Boambee,Coffs Harbour,Coffs Harbour - Grafton,44896
Bogangar,2488,NSW,Bogangar,Pottsville,Tweed Valley,Richmond - Tweed,42033
Bohle Plains,4817,QLD,Hervey Range,Northern Beaches,Townsville,Townsville,67671
Bokarina,4575,QLD,Birtinya,Wurtulla - Birtinya,Maroochy,Sunshine Coast,45592
Bolton Point,2283,NSW,West Wallsend,West Wallsend - Barnsley - Killingworth,Lake Macquarie - West,Newcastle and Lake Macquarie,50549
Bomaderry,2541,NSW,South Nowra,Nowra,Shoalhaven,Southern Highlands and Shoalhaven,46487
Bombala,2632,NSW,Wyndham (NSW),Bega-Eden Hinterland,South Coast,Capital Region,46495
Bonbeach,3196,VIC,Edithvale,Edithvale - Aspendale,Kingston,Melbourne - Inner South,58489
Bondi,2026,NSW,North Bondi,Dover Heights,Eastern Suburbs - North,Sydney - Eastern Suburbs,69585
Bondi Beach,2026,NSW,North Bondi,Dover Heights,Eastern Suburbs - North,Sydney - Eastern Suburbs,68116
Bondi Junction,2022,NSW,Bondi Junction,Bondi Junction - Waverly,Eastern Suburbs - North,Sydney - Eastern Suburbs,64030
Bonegilla,3691,VIC,Wodonga,Wodonga,Wodonga - Alpine,Hume,49158
Bongaree,4507,QLD,Woorim,Bribie Island,Bribie - Beachmere,Moreton Bay - North,38816
Bonner,2914,ACT,Throsby,Throsby,Gungahlin,Australian Capital Territory,68876
Bonnet Bay,2226,NSW,Sutherland (NSW),Sutherland - Kirrawee,Sutherland - Menai - Heathcote,Sydney - Sutherland,62453
Bonnie Brook,3335,VIC,Plumpton (Vic.),Fraser Rise - Plumpton,Melton - Bacchus Marsh,Melbourne - West,54031
Bonny Hills,2445,NSW,Lake Innes,Wauchope,Port Macquarie,Mid North Coast,37441
Bonnyrigg ,2177,NSW,Mount Pritchard,Cabramatta West - Mount Pritchard,Fairfield,Sydney - South West,49045
Bonnyrigg Heights,2177,NSW,Mount Pritchard,Cabramatta West - Mount Pritchard,Fairfield,Sydney - South West,49045
Bonogin,4213,QLD,Tallai,Worongary - Tallai,Nerang,Gold Coast,48978
Bonshaw,3352,VIC,Werneth,Corangamite - North,Warrnambool - Otway Ranges,Warrnambool and South West,47819
Bonville,2450,NSW,Bonville,Sawtell - Boambee,Coffs Harbour,Coffs Harbour - Grafton,44896
Bonython,2905,ACT,Theodore (ACT),Theodore,Tuggeranong,Australian Capital Territory,66840
Booker Bay,2257,NSW,Umina Beach,Umina - Booker Bay - Patonga,Gosford,Central Coast,47126
Boolaroo,2284,NSW,Teralba,Bolton Point - Teralba,Lake Macquarie - West,Newcastle and Lake Macquarie,54372
Boonah,4310,QLD,Boonah (Qld),Boonah,Ipswich Hinterland,Ipswich,43104
Boondall,4034,QLD,Zillmere,Zillmere,Sandgate,Brisbane - North,53202
Booral,4655,QLD,Walkers Point,Maryborough Surrounds - South,Maryborough,Wide Bay,43625
Boorooma,2650,NSW,Gregadoo,Wagga Wagga Surrounds,Wagga Wagga,Riverina,50516
Boronia,3155,VIC,Boronia,Boronia,Knox,Melbourne - Outer East,52664
Boronia Heights,4124,QLD,Greenbank,Greenbank - North Maclean,Jimboomba,Logan - Beaudesert,47774
Botanic Ridge,3977,VIC,Sandhurst,Skye - Sandhurst,Frankston,Mornington Peninsula,56506
Botany,2019,NSW,Botany,Botany,Botany,Sydney - City and Inner South,54866
Bothwell,7030,TAS,Bagdad,Southern Midlands,Central Highlands (Tas.),South East,47243
Boulder,6432,WA,Trafalgar (WA),Trafalgar (WA),Goldfields,Western Australia - Outback,45927
Bourkelands,2650,NSW,Gregadoo,Wagga Wagga Surrounds,Wagga Wagga,Riverina,50516
Bow Bowing,2566,NSW,Minto,Minto - St Andrews,Campbelltown (NSW),Sydney - Outer South West,51915
Bowden,5007,SA,Bowden,Hindmarsh - Brompton,Charles Sturt,Adelaide - West,53907
Bowen,4805,QLD,Bowen,Collinsville,Whitsunday,Mackay,61907
Bowen Hills,4006,QLD,Bowen Hills,Newstead - Bowen Hills,Brisbane Inner - North,Brisbane Inner City,69381
Bowen Mountain,2753,NSW,Agnes Banks,Yarramundi - Londonderry,Richmond - Windsor,Sydney - Outer West and Blue Mountains,53387
Bowral,2576,NSW,Glenquarry,Robertson - Fitzroy Falls,Southern Highlands,Southern Highlands and Shoalhaven,44537
Box Hill,2765,NSW,Berkshire Park,Yarramundi - Londonderry,Richmond - Windsor,Sydney - Outer West and Blue Mountains,53387
Box Hill,3128,VIC,Box Hill (Vic.),Box Hill,Whitehorse - West,Melbourne - Inner East,39083
Box Hill North,3129,VIC,Box Hill North,Box Hill North,Whitehorse - West,Melbourne - Inner East,49276
Box Hill South,3128,VIC,Box Hill (Vic.),Box Hill,Whitehorse - West,Melbourne - Inner East,39083
Boyland,4275,QLD,Tabragalba,Beaudesert,Beaudesert,Logan - Beaudesert,45369
Boyup Brook,6244,WA,Trigwell,Wagin,Wheat Belt - South,Western Australia - Wheat Belt,43257
Brabham,6055,WA,South Guildford,Perth Airport,Belmont - Victoria Park,Perth - South East,130676
Bracken Ridge,4017,QLD,Sandgate (Qld),Sandgate - Shorncliffe,Sandgate,Brisbane - North,54375
Bradbury,2560,NSW,Appin (NSW),Douglas Park - Appin,Wollondilly,Sydney - Outer South West,53106
Braddon,2612,ACT,Reid (ACT),Reid,North Canberra,Australian Capital Territory,77442
Braitling,870,NT,White Gums,Ross,Alice Springs,Northern Territory - Outback,64161
Branxton,2335,NSW,Luskintyre,Rutherford (North) - Aberglasslyn,Maitland,Hunter Valley exc Newcastle,56909
Branyan,4670,QLD,Walkervale,Walkervale - Avenell Heights,Burnett,Wide Bay,50253
Brassall,4305,QLD,Raceview,Ripley,Ipswich Inner,Ipswich,51555
Bray Park,2484,NSW,Urliup,Tweed Heads,Gold Coast Hinterland,Gold Coast,51945
Bray Park,4500,QLD,Brendale,Strathpine - Brendale,Strathpine,Moreton Bay - South,51945
Braybrook,3019,VIC,Braybrook,Braybrook,Maribyrnong,Melbourne - West,47576
Breakfast Point,2137,NSW,North Strathfield,Concord West - North Strathfield,Strathfield - Burwood - Ashfield,Sydney - Inner West,51126
Brentwood,6153,WA,Mount Pleasant (WA),Booragoon,Melville,Perth - South West,56598
Briar Hill,3088,VIC,Greensborough,Plenty - Yarrambat,Nillumbik - Kinglake,Melbourne - North East,60259
Bridgeman Downs,4035,QLD,Albany Creek,Albany Creek,Hills District,Moreton Bay - South,64266
Bridgetown,6255,WA,Bridgetown,Bridgetown - Boyup Brook,Manjimup,Bunbury,43257
Bridgewater,5155,SA,Bridgewater (SA),Aldgate - Stirling,Adelaide Hills,Adelaide - Central and Hills,42160
Bright,3741,VIC,Hotham Heights,Bright - Mount Beauty,Wodonga - Alpine,Hume,50988
Brighton,3186,VIC,Hampton (Vic.),Hampton,Bayside,Melbourne - Inner South,50988
Brighton,4017,QLD,Sandgate (Qld),Sandgate - Shorncliffe,Sandgate,Brisbane - North,50988
Brighton East,3187,VIC,Brighton East,Bentleigh - McKinnon,Glen Eira,Melbourne - Inner South,63091
Brighton-Le-Sands,2216,NSW,Rockdale,Rockdale - Banksia,Kogarah - Rockdale,Sydney - Inner South West,55590
Brinsmead,4870,QLD,Whitfield (Qld),Whitfield - Edge Hill,Cairns - South,Cairns,58335
Brisbane City,4000,QLD,Spring Hill (Qld),Spring Hill,Brisbane Inner - West,Brisbane Inner City,40903
Broadbeach,4218,QLD,Mermaid Waters,Mermaid Waters,Surfers Paradise,Gold Coast,47751
Broadbeach Waters,4218,QLD,Mermaid Waters,Mermaid Waters,Surfers Paradise,Gold Coast,46537
Broadford,3658,VIC,Waterford Park,Wallan,Whittlesea - Wallan,Melbourne - North East,52821
Broadmeadows,3047,VIC,Dallas,Campbellfield - Coolaroo,Tullamarine - Broadmeadows,Melbourne - North West,47897
Broadview,5083,SA,Sefton Park,Enfield - Blair Athol,Port Adelaide - East,Adelaide - North,58218
Broadwater,6280,WA,Stirling Estate,Capel,Bunbury,Bunbury,50290
Broken Hill,2880,NSW,Silverton (NSW),Far West,Broken Hill and Far West,Far West and Orana,53604
Brompton,5007,SA,Bowden,Hindmarsh - Brompton,Charles Sturt,Adelaide - West,53907
Bronte,2024,NSW,Waverley (NSW),Bondi Junction - Waverly,Eastern Suburbs - North,Sydney - Eastern Suburbs,69585
Brookdale,6112,WA,Piara Waters,Piara Waters - Forrestdale,Gosnells,Perth - South East,51990
Brookfield,3338,VIC,Wyndham Vale,Wyndham Vale - North,Wyndham,Melbourne - West,62971
Brookfield,4069,QLD,Pullenvale,Pinjarra Hills - Pullenvale,Ipswich Inner,Ipswich,62971
Brooklyn,3012,VIC,West Footscray,West Footscray - Tottenham,Maribyrnong,Melbourne - West,58721
Brooklyn Park,5032,SA,Underdale,Lockleys,West Torrens,Adelaide - West,51966
Brookvale,2100,NSW,Oxford Falls,Frenchs Forest - Oxford Falls,Warringah,Sydney - Northern Beaches,67756
Brookwater,4300,QLD,Bellbird Park,Bellbird Park,Springfield - Redbank,Ipswich,54115
Broome,6725,WA,Dampier Peninsula,Roebuck,Kimberley,Western Australia - Outback,61084
Broughton,4820,QLD,Broughton (Qld),Dalrymple,Charters Towers - Ayr - Ingham,Townsville,47481
Browns Plains,4118,QLD,Heritage Park,Regents Park - Heritage Park,Browns Plains,Logan - Beaudesert,49365
Bruce,2617,ACT,O'Connor (ACT),O'Connor (ACT),North Canberra,Australian Capital Territory,59769
Brunswick,3056,VIC,Brunswick (Vic.),Brunswick - South,Brunswick - Coburg,Melbourne - Inner,59266
Brunswick East,3057,VIC,Brunswick East,Brunswick - South,Brunswick - Coburg,Melbourne - Inner,63008
Brunswick West,3055,VIC,Brunswick West,Brunswick - South,Essendon,Melbourne - Inner,57450
Bucasia,4750,QLD,Bucasia,Shoal Point - Bucasia,Mackay,Mackay,61069
Buccan,4207,QLD,Edens Landing,Bethania - Waterford,Loganlea - Carbrook,Logan - Beaudesert,49655
Buddina,4575,QLD,Birtinya,Wurtulla - Birtinya,Maroochy,Sunshine Coast,49333
Buderim,4556,QLD,Forest Glen (Qld),Diddillibah - Rosemount,Nambour - Pomona,Sunshine Coast,47498
Buff Point,2262,NSW,Doyalson North,Lake Munmorah - Mannering Park,Wyong,Central Coast,48251
Bulahdelah,2423,NSW,Wang Wauk,Taree Surrounds,Taree - Gloucester,Mid North Coast,40732
Bulgarra,6714,WA,Burrup,Roebourne,Pilbara,Western Australia - Outback,85455
Bulimba,4171,QLD,Morningside,Morningside - Seven Hills,Brisbane Inner - East,Brisbane Inner City,77439
Bull Creek,6149,WA,Leeming,Leeming,Melville,Perth - South West,50405
Bulleen,3105,VIC,Bulleen,Bulleen,Banyule,Melbourne - North East,51507
Bulli,2516,NSW,Bulli,Woonona - Bulli - Russell Vale,Wollongong,Illawarra,59003
Bullsbrook,6084,WA,Chittering,Chittering,Wheat Belt - North,Western Australia - Wheat Belt,55289
Bunbury,6230,WA,Usher,Withers - Usher,Bunbury,Bunbury,48337
Bundaberg East,4670,QLD,Walkervale,Walkervale - Avenell Heights,Burnett,Wide Bay,48018
Bundaberg South,4670,QLD,Walkervale,Walkervale - Avenell Heights,Burnett,Wide Bay,45132
Bundall,4217,QLD,Surfers Paradise,Surfers Paradise - South,Surfers Paradise,Gold Coast,49244
Bundamba,4304,QLD,Booval,Ipswich - East,Ipswich Inner,Ipswich,50778
Bundanoon,2578,NSW,Penrose,Southern Highlands,Southern Highlands,Southern Highlands and Shoalhaven,46849
Bundeena,2230,NSW,Woolooware,Woolooware - Burraneer,Sutherland - Menai - Heathcote,Sydney - Sutherland,62483
Bundoora,3083,VIC,Bundoora (Vic.),Bundoora - West,Whittlesea - Wallan,Melbourne - North East,49030
Bungabbee,2480,NSW,Dunoon,Lismore Surrounds,Richmond Valley - Hinterland,Richmond - Tweed,41076
Bungendore,2621,NSW,Sutton (NSW),Yass Surrounds,Queanbeyan,Capital Region,61165
Bunya,4055,QLD,Ferny Hills,The Hills District,Hills District,Moreton Bay - South,60179
Burbank,4155,QLD,Chandler (Qld),Belmont - Gumdale,Capalaba,Brisbane - East,55214
Burdell,4818,QLD,Deeragun,Deeragun - Jensen,Townsville,Townsville,56111
Burleigh Heads,4220,QLD,Varsity Lakes,Varsity Lakes,Robina,Gold Coast,47638
Burleigh Waters,4220,QLD,Varsity Lakes,Varsity Lakes,Robina,Gold Coast,48116
Burnett Heads,4670,QLD,Walkervale,Walkervale - Avenell Heights,Burnett,Wide Bay,47221
Burnley,3121,VIC,Richmond (Vic.),Richmond - North,Yarra,Melbourne - Inner,68966
Burns Beach,6028,WA,Burns Beach,Iluka - Burns Beach,Joondalup,Perth - North West,64133
Burnside,3023,VIC,Caroline Springs,Caroline Springs,Melton - Bacchus Marsh,Melbourne - West,58695
Burnside,4560,QLD,Nambour,Nambour,Sunshine Coast Hinterland,Sunshine Coast,58695
Burnside Heights,3023,VIC,Caroline Springs,Caroline Springs,Melton - Bacchus Marsh,Melbourne - West,54182
Buronga,2739,NSW,Mourquong,Wentworth - Buronga,Lower Murray,Murray,45001
Burpengary,4505,QLD,Burpengary East,Deception Bay,Narangba - Burpengary,Moreton Bay - North,50980
Burpengary East,4505,QLD,Burpengary East,Deception Bay,Narangba - Burpengary,Moreton Bay - North,47353
Burraneer,2230,NSW,Woolooware,Woolooware - Burraneer,Sutherland - Menai - Heathcote,Sydney - Sutherland,67009
Burwood,2134,NSW,Burwood (NSW),Croydon,Strathfield - Burwood - Ashfield,Sydney - Inner West,51126
Burwood,3125,VIC,Burwood (Vic.),Ashwood - Chadstone,Monash,Melbourne - South East,51126
Burwood East,3151,VIC,Burwood East,Burwood East,Whitehorse - West,Melbourne - Inner East,42228
Burwood Heights,2136,NSW,Strathfield South,Strathfield South,Strathfield - Burwood - Ashfield,Sydney - Inner West,53700
Busby,2168,NSW,Cartwright,Lurnea - Cartwright,Liverpool,Sydney - South West,44082
Bushland Beach,4818,QLD,Deeragun,Deeragun - Jensen,Townsville,Townsville,56111
Bushmead,6055,WA,South Guildford,Perth Airport,Belmont - Victoria Park,Perth - South East,130676
Butler,6036,WA,Jindalee (WA),Mindarie - Quinns Rocks - Jindalee,Wanneroo,Perth - North West,56841
Byabarra,2446,NSW,Port Macquarie,Port Macquarie - South,Port Macquarie,Mid North Coast,42672
Byford,6122,WA,Whitby,Mundijong,Serpentine - Jarrahdale,Perth - South East,61266
Byron Bay,2481,NSW,Myocum,Mullumbimby,Richmond Valley - Coastal,Richmond - Tweed,36578
Cabarita,2137,NSW,North Strathfield,Concord West - North Strathfield,Strathfield - Burwood - Ashfield,Sydney - Inner West,62464
Caboolture,4510,QLD,Upper Caboolture,Upper Caboolture,Narangba - Burpengary,Moreton Bay - North,46305
Caboolture South,4510,QLD,Upper Caboolture,Upper Caboolture,Narangba - Burpengary,Moreton Bay - North,51658
Cabramatta,2166,NSW,Canley Vale,Canley Vale - Canley Heights,Fairfield,Sydney - South West,40552
Cairnlea,3023,VIC,Caroline Springs,Caroline Springs,Melton - Bacchus Marsh,Melbourne - West,50116
Cairns City,4870,QLD,Whitfield (Qld),Whitfield - Edge Hill,Cairns - South,Cairns,41160
Cairns North,4870,QLD,Whitfield (Qld),Whitfield - Edge Hill,Cairns - South,Cairns,53353
Calamvale,4116,QLD,Drewvale,Parkinson - Drewvale,Sunnybank,Brisbane - South,44956
Calderwood,2527,NSW,Yellow Rock (Shellharbour - NSW),Robertson - Fitzroy Falls,Southern Highlands,Southern Highlands and Shoalhaven,46219
Calista,6167,WA,Wandi,Casuarina - Wandi,Kwinana,Perth - South West,50755
Calliope,4680,QLD,West Gladstone,West Gladstone,Gladstone - Biloela,Fitzroy,54207
Caloundra West,4551,QLD,Meridan Plains,Meridan Plains - Little Mountain (North),Sunshine Coast Hinterland,Sunshine Coast,44551
Calvert,4340,QLD,Rosewood (Qld),Rosewood,Ipswich Hinterland,Ipswich,52397
Calwell,2905,ACT,Theodore (ACT),Theodore,Tuggeranong,Australian Capital Territory,67688
Camberwell,3124,VIC,Surrey Hills,Surrey Hills (West) - Canterbury,Boroondara,Melbourne - Inner East,61715
Camberwell,3126,VIC,Canterbury (Vic.),Surrey Hills (West) - Canterbury,Boroondara,Melbourne - Inner East,61715
Cambridge Park,2747,NSW,Jordan Springs,Jordan Springs - Llandilo,Penrith,Sydney - Outer West and Blue Mountains,56701
Camden Park,2570,NSW,Oran Park,Oran Park,Bringelly - Green Valley,Sydney - South West,55064
Camden South,2570,NSW,Oran Park,Oran Park,Bringelly - Green Valley,Sydney - South West,55064
Cameron Park,2285,NSW,Wallsend,Wallsend - Elermore Vale,Newcastle,Newcastle and Lake Macquarie,56676
Camira,4300,QLD,Bellbird Park,Bellbird Park,Springfield - Redbank,Ipswich,52844
Cammeray,2062,NSW,North Sydney,Crows Nest - Waverton,North Sydney - Mosman,Sydney - North Sydney and Hornsby,79894
Camp Hill,4152,QLD,Norman Park,Norman Park,Brisbane Inner - East,Brisbane Inner City,73107
Camp Mountain,4520,QLD,Cedar Creek (Moreton Bay - Qld),Samford Valley,Hills District,Moreton Bay - South,60322
Campbell,2612,ACT,Reid (ACT),Reid,North Canberra,Australian Capital Territory,53459
Campbellfield,3061,VIC,Campbellfield,Campbellfield - Coolaroo,Tullamarine - Broadmeadows,Melbourne - North West,37678
Campbelltown,2560,NSW,Appin (NSW),Douglas Park - Appin,Wollondilly,Sydney - Outer South West,53459
Campbelltown,5074,SA,Campbelltown (SA),Paradise - Newton,Port Adelaide - East,Adelaide - North,53459
Camperdown,2050,NSW,Camperdown (NSW),Camperdown - Darlington,Sydney Inner City,Sydney - City and Inner South,59807
Campsie,2194,NSW,Campsie,Canterbury - South,Strathfield - Burwood - Ashfield,Sydney - Inner West,51126
Canada Bay,2046,NSW,Chiswick,Five Dock - Abbotsford,Strathfield - Burwood - Ashfield,Sydney - Inner West,63036
Canadian,3350,VIC,Redan,Sebastopol - Redan,Ballarat,Ballarat,49070
Candelo,2550,NSW,Yowrie,Deua - Wadbilliga,South Coast,Capital Region,46774
Canley Heights,2166,NSW,Canley Vale,Canley Vale - Canley Heights,Fairfield,Sydney - South West,43286
Canning Mills,6111,WA,Canning Mills,Lesmurdie - Bickley - Carmel,Wheat Belt - North,Western Australia - Wheat Belt,53239
Canning Vale,6155,WA,Canning Vale,Canning Vale - East,Melville,Perth - South West,53084
Cannington,6107,WA,Wattle Grove (WA),Forrestfield - Wattle Grove,Kalamunda,Perth - South East,43363
Cannon Hill,4170,QLD,Norman Park,Norman Park,Brisbane Inner - East,Brisbane Inner City,65571
Cannon Valley,4800,QLD,Proserpine,Proserpine,Whitsunday,Mackay,47923
Cannonvale,4802,QLD,Cannonvale,Airlie - Whitsundays,Whitsunday,Mackay,46282
Canowindra,2804,NSW,Moorbel,Cowra Surrounds,Lachlan Valley,Central West,38504
Canterbury,2193,NSW,Hurlstone Park,Ashfield - South,Strathfield - Burwood - Ashfield,Sydney - Inner West,43758
Canterbury,3126,VIC,Canterbury (Vic.),Surrey Hills (West) - Canterbury,Boroondara,Melbourne - Inner East,43758
