nb_suburb,nb_postcode,nb_state,SA1,SA2,SA3,SA4,Median total income($)
Taree,2430,NSW,Lansdowne (Mid-Coast - NSW),Taree Surrounds,Taree - Gloucester,Mid North Coast,40475
Taren Point,2229,NSW,Woolooware,Woolooware - Burraneer,Cronulla - Miranda - Caringbah,Sydney - Sutherland,53600
Taringa,4068,QLD,Toowong,Toowong,Brisbane Inner - West,Brisbane Inner City,53036
Tarneit,3029,VIC,Truganina,Truganina - South West,Wyndham,Melbourne - West,52130
Taroona,7053,TAS,Taroona,Taroona - Bonnet Hill,Hobart - South and West,Hobart,53582
Tarragindi,4121,QLD,Tarragindi,Tarragindi,Nathan,Brisbane - South,69631
Tarrawanna,2518,NSW,East Corrimal,Corrimal - Tarrawanna - Bellambi,Wollongong,Illawarra,53973
Tascott,2250,NSW,Wrights Creek (NSW),Bilpin - Colo - St Albans,Hawkesbury,Sydney - Baulkham Hills and Hawkesbury,47184
Tatton,2650,NSW,Gregadoo,Wagga Wagga Surrounds,Wagga Wagga,Riverina,50516
Taylor,2913,ACT,Taylor,Taylor,Gungahlin,Australian Capital Territory,54126
Taylors Hill,3037,VIC,Hillside (Melton - Vic.),Hillside,Melton - Bacchus Marsh,Melbourne - West,56042
Taylors Lakes,3038,VIC,Taylors Lakes,Taylors Lakes,Brimbank,Melbourne - West,54126
Tea Tree Gully,5091,SA,Tea Tree Gully,St Agnes - Ridgehaven,Tea Tree Gully,Adelaide - North,52921
Tecoma,3160,VIC,Tecoma,Upwey - Tecoma,Yarra Ranges,Melbourne - Outer East,56165
Teesdale,3328,VIC,Teesdale (Vic.),Golden Plains - South,Barwon - West,Geelong,50940
Teesdale,6213,WA,Whittaker,Murray,Wheat Belt - South,Western Australia - Wheat Belt,46973
Telarah,2320,NSW,Wallalong,Seaham - Woodville,Port Stephens,Hunter Valley exc Newcastle,53583
Telopea,2117,NSW,Oatlands (NSW),North Parramatta,Parramatta,Sydney - Parramatta,58174
Tempe,2044,NSW,St Peters (NSW),Sydenham - Tempe - St Peters,Sydney Inner City,Sydney - City and Inner South,66891
Templestowe,3106,VIC,Templestowe,Templestowe,Manningham - West,Melbourne - Inner East,50147
Templestowe Lower,3107,VIC,Templestowe Lower,Templestowe Lower,Manningham - West,Melbourne - Inner East,49423
Tenambit,2323,NSW,Freemans Waterhole,Morisset - Cooranbong,Lake Macquarie - West,Newcastle and Lake Macquarie,46655
Teneriffe,4005,QLD,Teneriffe,Newstead - Bowen Hills,Brisbane Inner - North,Brisbane Inner City,69381
Tennyson Point,2111,NSW,Gladesville,Gladesville - Huntleys Point,Ryde - Hunters Hill,Sydney - Ryde,69328
Teralba,2284,NSW,Teralba,Bolton Point - Teralba,Lake Macquarie - West,Newcastle and Lake Macquarie,50549
Terranora,2486,NSW,Tweed Heads South,Tweed Heads South,Tweed Valley,Richmond - Tweed,46176
Terrey Hills,2084,NSW,Terrey Hills,Terrey Hills - Duffys Forest,Warringah,Sydney - Northern Beaches,59633
Terrigal,2260,NSW,Forresters Beach,Wamberal - Forresters Beach,Wyong,Central Coast,53015
Tewantin,4565,QLD,Cootharaba,Noosa Hinterland,Noosa,Sunshine Coast,39816
Thabeban,4670,QLD,Walkervale,Walkervale - Avenell Heights,Burnett,Wide Bay,45132
Thagoona,4306,QLD,Ripley,Ripley,Burnett,Wide Bay,62141
The Basin,3154,VIC,Sassafras (Vic.),Mount Dandenong - Olinda,Knox,Melbourne - Outer East,54926
The Bight,2429,NSW,Wingham,Wingham,Taree - Gloucester,Mid North Coast,44544
The Entrance,2261,NSW,Tuggerah,Tuggerah - Kangy Angy,Wyong,Central Coast,51621
The Entrance North,2261,NSW,Tuggerah,Tuggerah - Kangy Angy,Wyong,Central Coast,51002
The Gap,4061,QLD,The Gap (Brisbane - Qld),Ashgrove,Brisbane Inner - West,Brisbane Inner City,63199
The Junction,2291,NSW,Merewether,Merewether - The Junction,Newcastle,Newcastle and Lake Macquarie,63255
The Ponds,2769,NSW,The Ponds,Schofields - East,Blacktown - North,Sydney - Blacktown,63948
The Vines,6069,WA,Ellenbrook,Ellenbrook,Swan,Perth - North East,59398
Thirlmere,2572,NSW,Thirlmere,Picton - Tahmoor - Buxton,Wollondilly,Sydney - Outer South West,55890
Thirroul,2515,NSW,Thirroul,Thirroul - Austinmer - Coalcliff,Wollongong,Illawarra,62560
Thomastown,3074,VIC,Thomastown,Lalor - West,Tullamarine - Broadmeadows,Melbourne - North West,44316
Thomson,3219,VIC,Newcomb,Newcomb - Moolap,Geelong,Geelong,46478
Thornbury,3071,VIC,Thornbury,Northcote - West,Darebin - South,Melbourne - Inner,61162
Thorneside,4158,QLD,Thorneside,Thorneside,Capalaba,Brisbane - East,55581
Thornhill Park,3335,VIC,Plumpton (Vic.),Fraser Rise - Plumpton,Melton - Bacchus Marsh,Melbourne - West,54031
Thornlands,4164,QLD,Thornlands,Thornlands,Cleveland - Stradbroke,Brisbane - East,56750
Thornleigh,2120,NSW,Pennant Hills,Pennant Hills - Cheltenham,Pennant Hills - Epping,Sydney - Ryde,60588
Thornlie,6108,WA,Thornlie,Thornlie,Gosnells,Perth - South East,50302
Thornton,2322,NSW,Tarro,Beresfield - Hexham,Newcastle,Newcastle and Lake Macquarie,49304
Throsby,2914,ACT,Throsby,Throsby,Gungahlin,Australian Capital Territory,70444
Thrumster,2444,NSW,Port Macquarie,Port Macquarie - South,Port Macquarie,Mid North Coast,42672
Thurgoona,2640,NSW,Welaregang,Tumbarumba,Wodonga - Alpine,Hume,45354
Tiatukia,5607,SA,Tiatukia,Port Lincoln,Eyre Peninsula and South West,South Australia - Outback,47859
Tighes Hill,2297,NSW,Tighes Hill,Wickham - Carrington - Tighes Hill,Newcastle,Newcastle and Lake Macquarie,57839
Tin Can Bay,4580,QLD,Cooloola Cove,Cooloola,Gympie - Cooloola,Wide Bay,29791
Tinana,4650,QLD,Tinana,Tinana,Maryborough,Wide Bay,45106
Tinbeerwah,4563,QLD,Carters Ridge,Gympie Surrounds,Gympie - Cooloola,Wide Bay,39745
Tingalpa,4173,QLD,Wakerley,Wakerley,Wynnum - Manly,Brisbane - East,58471
Tingira Heights,2290,NSW,Charlestown (NSW),Adamstown - Kotara,Newcastle,Newcastle and Lake Macquarie,56991
Tinonee,2430,NSW,Lansdowne (Mid-Coast - NSW),Taree Surrounds,Taree - Gloucester,Mid North Coast,35635
Tintinara,5266,SA,Tintinara,The Coorong,Murray and Mallee,South Australia - South East,41497
Tiwi,810,NT,Wanguri,Wanguri,Darwin Suburbs,Darwin,43018
Tolga,4882,QLD,Tolga,Atherton,Tablelands (East) - Kuranda,Cairns,44298
Tolmans Hill,7007,TAS,Mount Nelson,Mount Nelson - Dynnyrne,Hobart Inner,Hobart,47273
Tomerong,2540,NSW,Jervis Bay,Jervis Bay,Jervis Bay,Other Territories,47338
Tomewin,2484,NSW,Urliup,Tweed Heads,Gold Coast Hinterland,Gold Coast,42239
Tongala,3621,VIC,Yambuna,Kyabram,Campaspe,Shepparton,44447
Tonsley,5042,SA,Pasadena,Panorama,Onkaparinga,Adelaide - South,48361
Toogoolawah,4313,QLD,Woolmar,Kilcoy,Caboolture Hinterland,Moreton Bay - North,49000
Toogoom,4655,QLD,Walkers Point,Maryborough Surrounds - South,Maryborough,Wide Bay,36468
Toongabbie,2146,NSW,Toongabbie (NSW),Pendle Hill - Girraween,Parramatta,Sydney - Parramatta,55182
Tooradin,3980,VIC,Warneet,Pearcedale - Tooradin,Casey - South,Melbourne - South East,53071
Toorak,3142,VIC,Toorak,Toorak,Boroondara,Melbourne - Inner East,74766
Toowong,4066,QLD,Toowong,Toowong,Brisbane Inner - West,Brisbane Inner City,56439
Torquay,3228,VIC,Torquay (Vic.),Torquay,Surf Coast - Bellarine Peninsula,Geelong,56102
Torquay,4655,QLD,Walkers Point,Maryborough Surrounds - South,Maryborough,Wide Bay,56102
Torrens,2607,ACT,Torrens,Torrens,Woden,Australian Capital Territory,50576
Torrensville,5031,SA,Torrensville,Richmond (SA),West Torrens,Adelaide - West,50425
Torrington,4350,QLD,Cranley,Wilsonton,Toowoomba,Toowoomba,47625
Townsville City,4810,QLD,Townsville City,Townsville City - North Ward,Townsville,Townsville,65695
Townview,4825,QLD,Alpurrurulam,Barkly,Barkly,Northern Territory - Outback,57777
Tranmere,7018,TAS,Rokeby (Tas.),Rokeby,Hobart - North East,Hobart,54956
Traralgon,3844,VIC,Woodside (Vic.),Yarram,Wellington,Latrobe - Gippsland,38845
Traralgon East,3844,VIC,Woodside (Vic.),Yarram,Wellington,Latrobe - Gippsland,38845
Travancore,3032,VIC,Maribyrnong,Maribyrnong,Maribyrnong,Melbourne - West,56241
Trawalla,3373,VIC,Westmere,Ararat Surrounds,Grampians,North West,47026
Treeby,6164,WA,Leeming,Jandakot,Cockburn,Perth - South West,55919
Tregear,2770,NSW,Minchinbury,Rooty Hill - Minchinbury,Mount Druitt,Sydney - Blacktown,52864
Trentham,3458,VIC,Trentham East,Woodend,Heathcote - Castlemaine - Kyneton,Bendigo,55926
Trinity Beach,4879,QLD,Trinity Beach,Trinity Beach - Smithfield,Cairns - North,Cairns,53909
Trinity Park,4879,QLD,Trinity Beach,Trinity Beach - Smithfield,Cairns - North,Cairns,53909
Trott Park,5158,SA,O'Halloran Hill,Happy Valley,Onkaparinga,Adelaide - South,55925
Truganina,3029,VIC,Truganina,Truganina - South West,Wyndham,Melbourne - West,52130
Tuart Hill,6060,WA,Yokine,Yokine - Coolbinia - Menora,Stirling,Perth - North West,56490
Tuerong,3915,VIC,Hastings (Vic.),Hastings - Somers,Mornington Peninsula,Mornington Peninsula,48896
Tugun,4224,QLD,Tugun,Currumbin - Tugun,Coolangatta,Gold Coast,48794
Tullamarine,3043,VIC,Tullamarine,Tullamarine,Tullamarine - Broadmeadows,Melbourne - North West,47897
Tumbi Umbi,2261,NSW,Tuggerah,Tuggerah - Kangy Angy,Wyong,Central Coast,51007
Tura Beach,2548,NSW,Pambula,Merimbula - Tura Beach,South Coast,Capital Region,41436
Turner,2612,ACT,Reid (ACT),Reid,North Canberra,Australian Capital Territory,49049
Turners Beach,7315,TAS,Lillico (Tas.),Turners Beach - Forth,Devonport,West and North West,49049
Tuross Head,2537,NSW,Tuross Head,Moruya - Tuross Head,South Coast,Capital Region,39491
Turramurra,2074,NSW,Warrawee,Wahroonga (East) - Warrawee,Pennant Hills - Epping,Sydney - Ryde,61300
Turrella,2205,NSW,Wolli Creek,Wolli Creek,Kogarah - Rockdale,Sydney - Inner South West,50360
Turvey Park,2650,NSW,Gregadoo,Wagga Wagga Surrounds,Wagga Wagga,Riverina,50516
Tweed Heads,2485,NSW,Tweed Heads,Tweed Heads,Coolangatta,Gold Coast,42239
Tweed Heads South,2486,NSW,Tweed Heads South,Tweed Heads South,Tweed Valley,Richmond - Tweed,40709
Tweed Heads West,2485,NSW,Tweed Heads,Tweed Heads,Coolangatta,Gold Coast,42239
Twin Waters,4564,QLD,Twin Waters,Marcoola - Mudjimba,Maroochy,Sunshine Coast,45434
Two Rocks,6037,WA,Two Rocks,Two Rocks,Wanneroo,Perth - North West,51639
Two Wells,5501,SA,Wild Horse Plains,Wakefield - Barunga West,Lower North,Barossa - Yorke - Mid North,52392
Tyabb,3913,VIC,Tyabb,Somerville,Mornington Peninsula,Mornington Peninsula,51734
Tyalgum,2484,NSW,Urliup,Tweed Heads,Gold Coast Hinterland,Gold Coast,42239
Ulladulla,2539,NSW,Manyana,Ulladulla Surrounds,Shoalhaven,Southern Highlands and Shoalhaven,38565
Ultimo,2007,NSW,Ultimo,Ultimo,Sydney Inner City,Sydney - City and Inner South,59807
Umina Beach,2257,NSW,Umina Beach,Umina - Booker Bay - Patonga,Gosford,Central Coast,47126
Unanderra,2526,NSW,Yerrinbool,Illawarra Catchment Reserve,Wollongong,Illawarra,55273
Underwood,4119,QLD,Underwood (Qld),Underwood,Springwood - Kingston,Logan - Beaudesert,50025
Unley,5061,SA,Unley,Unley - Parkside,Unley,Adelaide - Central and Hills,59740
Unley Park,5061,SA,Unley,Unley - Parkside,Unley,Adelaide - Central and Hills,59740
Upper Coomera,4209,QLD,Willow Vale (Qld),Willow Vale - Pimpama (West),Ormeau - Oxenford,Gold Coast,50746
Upper Ferntree Gully,3156,VIC,Lysterfield South,Endeavour Hills - North,Casey - North,Melbourne - South East,53005
Upper Kedron,4055,QLD,Ferny Hills,The Hills District,Hills District,Moreton Bay - South,64497
Upper Mount Gravatt,4122,QLD,Wishart (Qld),Wishart,Nathan,Brisbane - South,46338
Upsalls Creek,2439,NSW,Lakewood,Laurieton - Bonny Hills,Port Macquarie,Mid North Coast,37441
Upwey,3158,VIC,Upwey,Upwey - Tecoma,Yarra Ranges,Melbourne - Outer East,56165
